cell_set_accession	cell_label	cell_fullname	parent_cell_set_accession	parent_cell_set_name	labelset	cell_ontology_term_id	cell_ontology_term	rationale	rationale_dois	marker_gene_evidence	synonyms	cluster_size	NSF_marker_count	NSForest_markers	binary_genes	donor_composition	donor_composition_alert_0.90	library_composition_alert_0.95	library_composition_over0.01	dominant_library_percentage	dominant_library_info	roi_composition	roi_composition_alert_0.95	cluster_median_level1.class_scANVI_AIT11.6_round1_entropy	cluster_median_level2.neighborhood_scANVI_AIT11.6_round1_entropy	cluster_median_level1.class_scANVI_AIT11.6_round2_entropy	cluster_median_level2.neighborhood_scANVI_AIT11.6_round2_entropy	cluster_median_level3.subclass_scANVI_AIT11.6_round2_entropy	cluster_median_doublet_score	cluster_median_pct_counts_mt	gene_counts	umi_counts	umi_gene_ratio
AIT117_262	NN_26		AIT117_354	Endo	cluster							82	4	['MECOM', 'C3', 'ATP10A', 'ADAM28']	['MECOM', 'C3', 'P2RY12', 'ATP10A', 'LINC02712', 'ADAM28', 'SAMSN1', 'APBB1IP', 'DOCK8', 'RASGEF1C']	H23.30.001(0.6951)| H20.30.001(0.1463)| H18.30.001(0.1341)| H20.30.002(0.0244)| H19.30.004(0.0)	Balanced	Balanced	2016_A03 (0.1220)|2058_B03 (0.1098)|2012_A05 (0.0732)|2058_C03 (0.0732)|853_B07 (0.0732)|960_B03 (0.0366)|2013_A01 (0.0366)|2012_B05 (0.0366)|2018_B01 (0.0366)|2018_C01 (0.0366)|988_E05 (0.0366)|1042_C06 (0.0244)|1959_A02 (0.0244)|2016_C03 (0.0244)|1955_C06 (0.0244)|2006_A05 (0.0244)|2013_B01 (0.0244)|988_D05 (0.0244)|1959_C02 (0.0122)|1482_A03 (0.0122)|1169_A01 (0.0122)|994_C03 (0.0122)|2018_E01 (0.0122)|2018_D01 (0.0122)|853_A07 (0.0122)|858_D03 (0.0122)|891_A06 (0.0122)|930_D05 (0.0122)|930_E05 (0.0122)|2012_C05 (0.0122)|988_C05 (0.0122)	0.122	2016_A03 (0.122)|a total of 8401 cells in this dominant library	GPi(0.2317)| GPe(0.1463)| STH(0.122)| PuPV(0.0976)| SN(0.0732)| GPeC(0.0732)| CaT(0.061)| CaB(0.0488)| GPeR(0.0488)| NAC(0.0488)| Pu(0.0366)| PuC(0.0122)| CaH(0.0)| PuR(0.0)| SN-VTA(0.0)	Balanced	0	0.24	0	0.58	0.58	0.0626	0.1919	3724.5	9173.5	2.46
AIT117_263	NN_27		AIT117_354	Endo	cluster							355	2	['IL1R1', 'VWF']	['IL1R1', 'ADGRG6', 'VWF', 'TRPM6', 'PLA2G4A', 'PGM5', 'ANO2', 'CDH23', 'BNC2', 'ABCB1']	H23.30.001(0.6563)| H20.30.001(0.1099)| H18.30.001(0.093)| H20.30.002(0.0789)| H19.30.004(0.062)	Balanced	Balanced	2013_B01 (0.0620)|2016_A03 (0.0620)|2013_C01 (0.0563)|2006_A05 (0.0507)|2058_B03 (0.0479)|2016_B03 (0.0479)|2012_B05 (0.0451)|988_E05 (0.0423)|2012_A05 (0.0423)|2013_A01 (0.0394)|2018_E01 (0.0366)|1279_A07 (0.0254)|1279_B07 (0.0254)|2018_B01 (0.0225)|2016_C03 (0.0197)|2058_C03 (0.0197)|994_C03 (0.0169)|2012_C05 (0.0141)|2006_B05 (0.0141)|925_F03 (0.0141)|960_B03 (0.0141)|1959_A02 (0.0141)|1477_A07 (0.0141)|2018_D01 (0.0141)|853_B07 (0.0141)|2018_A01 (0.0113)|858_D03 (0.0113)|1955_B06 (0.0113)|1482_A03 (0.0113)|1468_A09 (0.0113)|1959_C02 (0.0113)|1458_A09 (0.0113)	0.062	2013_B01 (0.062)|a total of 4881 cells in this dominant library	GPi(0.2366)| STH(0.1324)| CaB(0.1239)| GPe(0.1014)| PuPV(0.093)| CaT(0.0704)| PuC(0.0676)| NAC(0.0479)| SN(0.0338)| CaH(0.0282)| GPeR(0.0197)| GPeC(0.0141)| Pu(0.0113)| PuR(0.0113)| SN-VTA(0.0085)	Balanced	0	0	0	0	0	0.0133	0.1227	2737	6578	2.4
AIT117_264	NN_30		AIT117_354	Endo	cluster							611	3	['CARMN', 'RGS5', 'FLT1']	['NOTCH3', 'CARMN', 'SLC19A1', 'GJC1', 'RGS5', 'FLT1', 'ATP10A', 'PDGFRB', 'SLC38A11', 'TRPC3']	H23.30.001(0.9002)| H20.30.001(0.0426)| H18.30.001(0.0295)| H20.30.002(0.0213)| H19.30.004(0.0065)	Cautious	Balanced	2016_A03 (0.1800)|2016_B03 (0.0769)|2006_A05 (0.0671)|2058_C03 (0.0556)|2012_A05 (0.0540)|2013_C01 (0.0540)|2013_B01 (0.0507)|2013_A01 (0.0491)|2058_B03 (0.0475)|2012_B05 (0.0426)|1959_C02 (0.0426)|1959_A02 (0.0409)|2006_B05 (0.0262)|1959_B02 (0.0196)|2018_A01 (0.0164)|2018_B01 (0.0147)|2016_C03 (0.0147)|2018_C01 (0.0115)|2018_E01 (0.0115)|988_E05 (0.0115)	0.18	2016_A03 (0.18)|a total of 8401 cells in this dominant library	GPi(0.2913)| GPe(0.1408)| CaB(0.1342)| PuC(0.0949)| STH(0.0606)| SN(0.0589)| Pu(0.0491)| NAC(0.0475)| PuPV(0.0426)| CaH(0.0426)| CaT(0.0229)| GPeR(0.0065)| PuR(0.0049)| GPeC(0.0016)| SN-VTA(0.0016)	Balanced	0	0	0	0	0	0.0638	1.023	6002	21690	3.61
AIT117_265	NN_31		AIT117_355	SMC	cluster							213	1	['MYH11']	['TAGLN', 'ADAMTS1', 'ACTA2', 'TPM2', 'MYOCD', 'MYH11', 'MCAM', 'FLNA', 'MYL9', 'ITGA8']	H23.30.001(0.507)| H18.30.001(0.1784)| H20.30.001(0.1737)| H19.30.004(0.0939)| H20.30.002(0.0469)	Balanced	Balanced	2012_B05 (0.0845)|2013_A01 (0.0751)|1468_A09 (0.0704)|858_D03 (0.0563)|1959_C02 (0.0423)|2018_C01 (0.0376)|2016_B03 (0.0376)|994_C03 (0.0329)|1075_B04 (0.0329)|1477_A07 (0.0329)|2012_A05 (0.0329)|2016_A03 (0.0329)|2013_B01 (0.0329)|2018_D01 (0.0282)|2058_B03 (0.0282)|960_B03 (0.0235)|1001_A06 (0.0188)|853_B07 (0.0188)|925_F03 (0.0188)|1959_B02 (0.0188)|2058_C03 (0.0141)|2018_E01 (0.0141)|1279_A07 (0.0141)|980_C02 (0.0141)|930_D05 (0.0141)|1482_A03 (0.0141)|1042_C06 (0.0141)|988_D05 (0.0141)|988_E05 (0.0141)	0.0845	2012_B05 (0.0845)|a total of 6229 cells in this dominant library	GPi(0.3146)| STH(0.1596)| GPe(0.1455)| PuC(0.0516)| NAC(0.0469)| Pu(0.0423)| CaT(0.0423)| SN(0.0329)| GPeR(0.0329)| CaB(0.0282)| PuPV(0.0282)| SN-VTA(0.0235)| CaH(0.0235)| GPeC(0.0188)| PuR(0.0094)	Balanced	0	0	0	0	0	0	0.4517	1933	4399	2.28
AIT117_266	NN_32		AIT117_356	Pericyte	cluster							1344	2	['SLC19A1', 'RGS5']	['SLC6A12', 'NOTCH3', 'CARMN', 'SLC19A1', 'GJC1', 'RGS5', 'PDGFRB', 'SLC38A11', 'TRPC3', 'SLC30A10']	H23.30.001(0.5253)| H20.30.002(0.154)| H20.30.001(0.1458)| H18.30.001(0.1287)| H19.30.004(0.0461)	Balanced	Balanced	2013_B01 (0.0521)|2006_A05 (0.0484)|2013_A01 (0.0469)|2016_A03 (0.0387)|988_E05 (0.0365)|2018_A01 (0.0320)|2016_B03 (0.0312)|858_D03 (0.0283)|2058_B03 (0.0275)|988_C05 (0.0275)|897_E03 (0.0253)|1959_C02 (0.0246)|2013_C01 (0.0246)|2058_C03 (0.0246)|853_B07 (0.0238)|2012_A05 (0.0231)|2012_B05 (0.0223)|1001_B06 (0.0216)|2018_E01 (0.0208)|988_D05 (0.0201)|1959_B02 (0.0193)|1279_B07 (0.0186)|1279_A07 (0.0171)|2018_B01 (0.0171)|2018_C01 (0.0171)|1075_B04 (0.0156)|930_D05 (0.0156)|994_C03 (0.0156)|930_F05 (0.0149)|2006_B05 (0.0141)|822_B01 (0.0141)|1477_A07 (0.0134)|853_A07 (0.0126)|960_B03 (0.0126)|2012_C05 (0.0119)|822_A01 (0.0119)|2016_C03 (0.0119)|930_E05 (0.0112)|1468_A09 (0.0104)|930_B05 (0.0104)	0.0521	2013_B01 (0.0521)|a total of 4881 cells in this dominant library	GPi(0.1808)| CaB(0.1168)| GPe(0.1012)| STH(0.0967)| PuC(0.09)| CaT(0.0841)| PuPV(0.0811)| NAC(0.0484)| CaH(0.0365)| SN(0.0298)| SN-VTA(0.029)| Pu(0.0283)| PuR(0.0283)| GPeR(0.0253)| GPeC(0.0238)	Balanced	0	0	0	0	0	0	0.4438	2446	5450.5	2.23
AIT117_267	NN_33		AIT117_357	VLMC	cluster							2307	1	['COL15A1']	['VIT', 'COL3A1', 'C7', 'COL15A1', 'CYP1B1', 'COL6A3', 'COL1A2', 'TBX18', 'DCN', 'ABCA8']	H23.30.001(0.4629)| H18.30.001(0.2063)| H20.30.001(0.1786)| H20.30.002(0.1127)| H19.30.004(0.0394)	Balanced	Balanced	2012_A05 (0.0503)|988_E05 (0.0459)|988_D05 (0.0455)|2013_A01 (0.0425)|2012_B05 (0.0412)|960_B03 (0.0338)|853_B07 (0.0308)|2006_A05 (0.0277)|2016_B03 (0.0277)|858_D03 (0.0277)|2006_B05 (0.0256)|891_A06 (0.0247)|2016_A03 (0.0247)|1959_C02 (0.0230)|2058_B03 (0.0217)|2013_B01 (0.0212)|1959_B02 (0.0186)|1279_A07 (0.0178)|994_C03 (0.0178)|2018_A01 (0.0160)|925_F03 (0.0156)|2018_B01 (0.0156)|1482_A03 (0.0147)|1955_B06 (0.0147)|1001_B06 (0.0147)|2018_C01 (0.0147)|930_B05 (0.0143)|2012_C05 (0.0143)|2016_C03 (0.0143)|853_A07 (0.0143)|930_C05 (0.0130)|897_E03 (0.0130)|2013_C01 (0.0121)|988_C05 (0.0117)|2018_E01 (0.0113)|1468_A09 (0.0108)|1075_B04 (0.0108)|1279_B07 (0.0108)|1169_A01 (0.0104)|930_D05 (0.0104)|930_F05 (0.0104)	0.0503	2012_A05 (0.0503)|a total of 7367 cells in this dominant library	GPi(0.1621)| GPe(0.1331)| STH(0.0884)| CaT(0.0871)| CaB(0.0832)| PuPV(0.0828)| PuC(0.0728)| CaH(0.059)| NAC(0.0511)| GPeR(0.0481)| Pu(0.0321)| GPeC(0.0308)| PuR(0.0243)| SN(0.0234)| SN-VTA(0.0217)	Balanced	0	0	0	0	0	0.0122	0.1638	2589	5571	2.15
AIT117_268	NN_37		AIT117_352	OPC	cluster							322	4	['AC004852.2', 'ENPP2', 'VCAN', 'RNF220']	['AC004852.2', 'BX284613.2', 'LINC01608', 'ENPP2', 'VCAN', 'RNF220', 'TMEM144', 'PLP1', 'ST18', 'CA10']	H23.30.001(0.7764)| H20.30.002(0.0776)| H20.30.001(0.0621)| H18.30.001(0.0559)| H19.30.004(0.028)	Balanced	Balanced	2018_D01 (0.1087)|2006_A05 (0.0683)|2016_B03 (0.0528)|1955_C06 (0.0497)|1959_A02 (0.0497)|2016_C03 (0.0497)|1959_B02 (0.0404)|1169_A01 (0.0404)|1959_C02 (0.0404)|1955_B06 (0.0404)|2018_E01 (0.0404)|2006_B05 (0.0373)|2016_A03 (0.0311)|1233_A02 (0.0311)|2018_A01 (0.0280)|847_A04 (0.0280)|2012_C05 (0.0217)|2013_C01 (0.0217)|1468_A09 (0.0186)|2018_C01 (0.0186)|2058_B03 (0.0186)|2018_B01 (0.0155)|2058_C03 (0.0155)|2012_B05 (0.0155)|1075_B04 (0.0124)|822_B01 (0.0124)	0.1087	2018_D01 (0.1087)|a total of 2261 cells in this dominant library	GPi(0.1832)| CaH(0.1087)| STH(0.1025)| Pu(0.0901)| CaB(0.0901)| PuC(0.0807)| PuPV(0.0807)| NAC(0.0745)| CaT(0.0652)| GPe(0.059)| SN(0.0497)| SN-VTA(0.0093)| PuR(0.0062)| GPeR(0.0)| GPeC(0.0)	Balanced	0	0	0	0	0	0.0976	0.0488	3347	8093	2.42
AIT117_269	NN_38		AIT117_352	OPC	cluster							324	4	['BX284613.2', 'PDGFRA', 'ETNPPL', 'OBI1-AS1']	['BX284613.2', 'AC004852.2', 'PDGFRA', 'ETNPPL', 'MEGF11', 'OBI1-AS1', 'HPSE2', 'EFEMP1', 'AC012405.1', 'FAM189A2']	H23.30.001(0.5926)| H18.30.001(0.1975)| H20.30.002(0.1049)| H20.30.001(0.071)| H19.30.004(0.034)	Balanced	Balanced	2058_B03 (0.0957)|2058_C03 (0.0864)|925_F03 (0.0617)|2012_C05 (0.0586)|2016_A03 (0.0432)|891_A06 (0.0401)|2012_A05 (0.0370)|1955_B06 (0.0340)|1075_B04 (0.0309)|2013_A01 (0.0278)|988_C05 (0.0278)|988_E05 (0.0247)|1001_B06 (0.0247)|2013_B01 (0.0247)|2006_A05 (0.0247)|1959_A02 (0.0247)|2018_E01 (0.0216)|2016_C03 (0.0185)|822_B01 (0.0185)|2013_C01 (0.0185)|1959_C02 (0.0185)|853_B07 (0.0154)|1169_A01 (0.0154)|1279_B07 (0.0154)|1091_A05 (0.0154)|2018_B01 (0.0123)|1468_A09 (0.0123)	0.0957	2058_B03 (0.0957)|a total of 5698 cells in this dominant library	STH(0.1852)| SN(0.1512)| CaT(0.1235)| GPi(0.0895)| CaB(0.0864)| GPe(0.0741)| PuPV(0.0741)| NAC(0.0679)| CaH(0.0463)| SN-VTA(0.0309)| Pu(0.0247)| PuC(0.0154)| GPeC(0.0154)| GPeR(0.0093)| PuR(0.0062)	Balanced	0	0	0	0	0	0.0896	0.0521	4178	10625	2.54
AIT117_270	NN_39		AIT117_352	OPC	cluster							215	4	['AC004852.2', 'PDGFRA', 'APBB1IP', 'DOCK8']	['BX284613.2', 'AC004852.2', 'PDGFRA', 'ADAM28', 'APBB1IP', 'DOCK8', 'PTPRC', 'VCAN', 'ATP8B4', 'CA10']	H23.30.001(0.5581)| H18.30.001(0.2279)| H20.30.002(0.0977)| H20.30.001(0.0837)| H19.30.004(0.0326)	Balanced	Balanced	925_F03 (0.1023)|2016_A03 (0.0977)|2058_C03 (0.0698)|2012_C05 (0.0558)|1001_B06 (0.0512)|980_C02 (0.0419)|2016_C03 (0.0372)|2058_B03 (0.0372)|2018_C01 (0.0326)|1279_A07 (0.0326)|988_D05 (0.0279)|2012_B05 (0.0279)|1075_B04 (0.0279)|1959_A02 (0.0233)|2013_B01 (0.0233)|1955_C06 (0.0233)|891_A06 (0.0186)|2012_A05 (0.0186)|853_B07 (0.0140)|1233_A02 (0.0140)|822_B01 (0.0140)|2013_C01 (0.0140)|2018_E01 (0.0140)|1036_A03 (0.0140)|2006_B05 (0.0140)|858_D03 (0.0140)	0.1023	925_F03 (0.1023)|a total of 3479 cells in this dominant library	SN(0.186)| GPi(0.1674)| CaT(0.1442)| STH(0.1023)| GPe(0.0698)| PuPV(0.0651)| SN-VTA(0.0558)| NAC(0.0512)| CaB(0.0512)| Pu(0.0326)| CaH(0.0233)| PuC(0.0233)| GPeC(0.014)| GPeR(0.0093)| PuR(0.0047)	Balanced	0	0.58	0	0	0	0.0909	0.0804	4043	10356	2.56
AIT117_271	NN_40		AIT117_358	T cells	cluster							380	2	['LINC01934', 'CD96']	['GPR174', 'LCK', 'CD2', 'LINC01934', 'CD96', 'GRAP2', 'SKAP1', 'ITK', 'TC2N', 'SLFN12L']	H23.30.001(0.4553)| H20.30.001(0.2053)| H20.30.002(0.1368)| H18.30.001(0.1211)| H19.30.004(0.0816)	Balanced	Balanced	1001_A06 (0.0684)|2058_C03 (0.0500)|1279_A07 (0.0474)|960_B03 (0.0474)|2012_C05 (0.0447)|2012_A05 (0.0447)|1001_B06 (0.0421)|2058_B03 (0.0395)|1075_B04 (0.0368)|2016_A03 (0.0368)|2013_C01 (0.0316)|2018_C01 (0.0263)|988_C05 (0.0263)|2013_B01 (0.0237)|994_C03 (0.0237)|1279_B07 (0.0237)|2012_B05 (0.0211)|2013_A01 (0.0211)|2018_D01 (0.0184)|988_E05 (0.0184)|858_D03 (0.0184)|822_B01 (0.0184)|2016_B03 (0.0158)|2018_A01 (0.0158)|1477_A07 (0.0132)|930_D05 (0.0132)|853_A07 (0.0132)|853_B07 (0.0132)|988_D05 (0.0132)|925_F03 (0.0105)|2018_B01 (0.0105)|1468_A09 (0.0105)|2016_C03 (0.0105)|1959_B02 (0.0105)|1091_A05 (0.0105)|1042_C06 (0.0105)|1959_A02 (0.0105)|1482_A03 (0.0105)	0.0684	1001_A06 (0.0684)|a total of 3218 cells in this dominant library	STH(0.1711)| GPi(0.1658)| SN-VTA(0.1105)| CaT(0.1)| GPe(0.0974)| GPeR(0.0605)| PuPV(0.0605)| SN(0.0605)| NAC(0.0553)| PuC(0.0474)| CaB(0.0421)| GPeC(0.0132)| CaH(0.0132)| Pu(0.0026)| PuR(0.0)	Balanced	0	0	0	0	0	0	0.5272	1831	3814.5	2.08
AIT117_272	NN_41		AIT117_358	T cells	cluster							85	3	['CD3D', 'IL32', 'LINC01871']	['CD3D', 'IL32', 'TRBC2', 'LINC01871', 'CD52', 'TRGC2', 'GZMA', 'CST7', 'NKG7', 'PRF1']	H18.30.001(0.6235)| H19.30.004(0.1647)| H23.30.001(0.1176)| H20.30.001(0.0471)| H20.30.002(0.0471)	Balanced	Balanced	858_D03 (0.2353)|1075_B04 (0.1529)|1279_A07 (0.1294)|925_F03 (0.1176)|988_D05 (0.0353)|2012_C05 (0.0235)|1482_A03 (0.0235)|853_B07 (0.0235)|853_A07 (0.0235)|2018_B01 (0.0235)|1279_B07 (0.0235)|2012_B05 (0.0118)|1001_B06 (0.0118)|2006_A05 (0.0118)|1959_C02 (0.0118)|960_B03 (0.0118)|1468_A09 (0.0118)|1091_A05 (0.0118)|930_F05 (0.0118)|2013_C01 (0.0118)|930_B05 (0.0118)|1477_A07 (0.0118)|891_A06 (0.0118)|847_C04 (0.0118)|2018_D01 (0.0118)|2018_E01 (0.0118)|1042_A06 (0.0118)	0.2353	858_D03 (0.2353)|a total of 4783 cells in this dominant library	STH(0.3176)| GPi(0.2941)| SN(0.1176)| CaT(0.0706)| PuPV(0.0353)| GPeR(0.0353)| CaB(0.0353)| GPeC(0.0235)| NAC(0.0235)| PuC(0.0118)| Pu(0.0118)| PuR(0.0118)| SN-VTA(0.0118)| GPe(0.0)| CaH(0.0)	Balanced	0	0	0	0	0	0	1.5325	2013	4083	2.03
AIT117_273	NN_42		AIT117_359	NK cells	cluster							260	2	['KLRF1', 'NKG7']	['KLRF1', 'GZMB', 'GNLY', 'PYHIN1', 'PRF1', 'NKG7', 'SKAP1', 'CD247', 'TXK', 'KLRD1']	H23.30.001(0.4308)| H18.30.001(0.3462)| H20.30.002(0.1038)| H19.30.004(0.0769)| H20.30.001(0.0423)	Balanced	Balanced	858_D03 (0.1192)|1075_B04 (0.1077)|2013_C01 (0.0500)|925_F03 (0.0385)|2018_C01 (0.0385)|1279_B07 (0.0346)|2006_A05 (0.0346)|2018_B01 (0.0308)|1279_A07 (0.0308)|2012_A05 (0.0308)|988_C05 (0.0308)|2012_B05 (0.0308)|2058_B03 (0.0269)|1959_C02 (0.0269)|2012_C05 (0.0231)|2018_A01 (0.0231)|853_A07 (0.0231)|1959_B02 (0.0231)|853_B07 (0.0231)|1001_B06 (0.0192)|2016_B03 (0.0154)|2058_C03 (0.0154)|2016_C03 (0.0115)|2016_A03 (0.0115)|988_E05 (0.0115)|822_A01 (0.0115)|930_A05 (0.0115)|1955_B06 (0.0115)|1468_A09 (0.0115)	0.1192	858_D03 (0.1192)|a total of 4783 cells in this dominant library	STH(0.2154)| GPi(0.1846)| CaB(0.1)| GPe(0.0731)| CaT(0.0654)| PuPV(0.0654)| SN(0.0538)| PuC(0.0538)| CaH(0.05)| Pu(0.0308)| GPeR(0.0269)| GPeC(0.0231)| NAC(0.0231)| SN-VTA(0.0192)| PuR(0.0154)	Balanced	0	0	0	0	0	0	0.712	1841	3767.5	2.05
AIT117_274	NN_45		AIT117_358	T cells	cluster							206	2	['IL7R', 'LINC00861']	['IL7R', 'CD28', 'TCF7', 'LTB', 'CD6', 'LINC00861', 'ITK', 'SKAP1', 'TC2N', 'ITGA4']	H23.30.001(0.6262)| H18.30.001(0.1893)| H19.30.004(0.0825)| H20.30.001(0.0728)| H20.30.002(0.0291)	Balanced	Balanced	858_D03 (0.0680)|2012_B05 (0.0583)|1075_B04 (0.0583)|2013_A01 (0.0583)|2016_A03 (0.0534)|2018_B01 (0.0485)|2012_C05 (0.0485)|1279_A07 (0.0437)|1959_C02 (0.0388)|1279_B07 (0.0340)|1959_A02 (0.0340)|2016_B03 (0.0340)|2058_B03 (0.0291)|2018_A01 (0.0291)|2013_C01 (0.0291)|2013_B01 (0.0291)|960_B03 (0.0291)|2012_A05 (0.0243)|1959_B02 (0.0243)|2018_C01 (0.0243)|2016_C03 (0.0194)|994_C03 (0.0194)|988_D05 (0.0194)|925_F03 (0.0194)|2058_C03 (0.0146)|2018_E01 (0.0146)|1091_A05 (0.0146)	0.068	858_D03 (0.068)|a total of 4783 cells in this dominant library	GPi(0.233)| STH(0.1699)| GPe(0.1068)| PuPV(0.0874)| CaT(0.0825)| PuC(0.0777)| NAC(0.0534)| Pu(0.0388)| CaB(0.0388)| CaH(0.034)| SN(0.034)| GPeR(0.0291)| SN-VTA(0.0097)| GPeC(0.0049)| PuR(0.0)	Balanced	0	0	0	0	0	0	0.766	1779.5	3583	2.01
AIT117_275	NN_46		AIT117_360	BAM	cluster							451	2	['CCDC26', 'SIGLEC1']	['CCDC26', 'LINC01684', 'MS4A4E', 'SIGLEC1', 'MRC1', 'CD163', 'F13A1', 'AL357522.1', 'LYVE1', 'ADGRG6']	H18.30.001(0.4479)| H23.30.001(0.3259)| H20.30.002(0.1086)| H20.30.001(0.1042)| H19.30.004(0.0133)	Balanced	Balanced	858_D03 (0.1086)|1075_B04 (0.0754)|853_B07 (0.0710)|853_A07 (0.0532)|1959_C02 (0.0288)|1091_A05 (0.0288)|2016_B03 (0.0288)|988_C05 (0.0266)|960_B03 (0.0244)|2012_A05 (0.0244)|2006_B05 (0.0244)|988_D05 (0.0222)|1959_B02 (0.0222)|2058_B03 (0.0222)|988_E05 (0.0222)|925_F03 (0.0222)|2012_B05 (0.0200)|1001_B06 (0.0200)|2013_A01 (0.0177)|2006_A05 (0.0177)|2016_A03 (0.0177)|847_A04 (0.0177)|2013_C01 (0.0155)|1959_A02 (0.0155)|1955_B06 (0.0133)|930_D05 (0.0133)|2018_A01 (0.0133)|847_D04 (0.0111)|1036_C03 (0.0111)|2018_D01 (0.0111)|891_A06 (0.0111)|847_C04 (0.0111)	0.1086	858_D03 (0.1086)|a total of 4783 cells in this dominant library	GPi(0.1796)| STH(0.1153)| NAC(0.0843)| GPeR(0.0776)| PuC(0.071)| GPe(0.071)| GPeC(0.071)| CaH(0.0687)| CaT(0.0643)| CaB(0.0554)| PuPV(0.0466)| Pu(0.0333)| SN(0.0244)| SN-VTA(0.0222)| PuR(0.0155)	Balanced	0	0	0	0	0	0	0.0573	2627	6414	2.44
AIT117_276	NN_47		AIT117_360	BAM	cluster							1013	2	['SIGLEC1', 'F13A1']	['LILRB5', 'SIGLEC1', 'MS4A4A', 'MRC1', 'CD163', 'F13A1', 'DAB2', 'CD163L1', 'SELENOP', 'IQGAP2']	H23.30.001(0.387)| H20.30.001(0.23)| H18.30.001(0.2142)| H20.30.002(0.1175)| H19.30.004(0.0513)	Balanced	Balanced	994_C03 (0.0533)|858_D03 (0.0503)|853_B07 (0.0464)|960_B03 (0.0464)|2058_B03 (0.0405)|2012_A05 (0.0375)|1075_B04 (0.0365)|988_E05 (0.0336)|1001_B06 (0.0336)|1001_A06 (0.0326)|853_A07 (0.0296)|1279_A07 (0.0296)|2013_B01 (0.0257)|2013_A01 (0.0257)|988_C05 (0.0247)|2012_C05 (0.0237)|2016_A03 (0.0237)|2012_B05 (0.0237)|2058_C03 (0.0217)|1959_C02 (0.0217)|1959_B02 (0.0178)|2018_A01 (0.0158)|1279_B07 (0.0148)|2018_B01 (0.0148)|930_D05 (0.0138)|2016_B03 (0.0138)|2006_B05 (0.0128)|891_A06 (0.0128)|2018_E01 (0.0128)|1036_B03 (0.0128)|1959_A02 (0.0118)|988_D05 (0.0118)	0.0533	994_C03 (0.0533)|a total of 4714 cells in this dominant library	GPi(0.1885)| STH(0.1352)| GPe(0.0859)| GPeR(0.076)| CaT(0.075)| NAC(0.0681)| SN-VTA(0.0661)| PuPV(0.0592)| PuC(0.0553)| GPeC(0.0464)| CaH(0.0444)| CaB(0.0375)| SN(0.0276)| Pu(0.0237)| PuR(0.0109)	Balanced	0	0	0	0	0	0.0213	0.0548	2581	6526	2.53
AIT117_277	NN_48		AIT117_348	BN Astrocyte	cluster							629	5	['CPAMD8', 'LINC00836', 'ADAM28', 'APBB1IP', 'DOCK8']	['AL627316.1', 'CPAMD8', 'LINC00836', 'ADAM28', 'APBB1IP', 'DOCK8', 'CD44', 'TNC', 'GFAP', 'MIR4300HG']	H18.30.001(0.5294)| H23.30.001(0.2591)| H20.30.001(0.1192)| H20.30.002(0.0652)| H19.30.004(0.027)	Balanced	Balanced	858_D03 (0.1351)|853_B07 (0.1097)|925_F03 (0.0970)|1075_B04 (0.0715)|980_C02 (0.0413)|988_D05 (0.0413)|891_A06 (0.0350)|2018_D01 (0.0318)|853_A07 (0.0286)|2016_A03 (0.0254)|2018_E01 (0.0238)|988_C05 (0.0238)|1955_C06 (0.0207)|988_E05 (0.0191)|2012_C05 (0.0191)|994_C03 (0.0191)|1955_B06 (0.0159)|2018_C01 (0.0159)|2058_C03 (0.0127)|1001_A06 (0.0127)|2016_C03 (0.0127)|1036_C03 (0.0111)|1468_A09 (0.0111)|1959_A02 (0.0111)|2058_B03 (0.0111)|1959_B02 (0.0111)	0.1351	858_D03 (0.1351)|a total of 4783 cells in this dominant library	GPi(0.2242)| CaT(0.1494)| STH(0.1145)| SN(0.1113)| GPeC(0.1097)| PuPV(0.0509)| CaB(0.0445)| GPeR(0.0366)| CaH(0.035)| NAC(0.0334)| GPe(0.0318)| Pu(0.0286)| SN-VTA(0.0207)| PuC(0.0079)| PuR(0.0016)	Balanced	0	0.5	0	0.24	0.24	0.1163	0.095	4104	10057	2.45
AIT117_278	NN_49		AIT117_348	BN Astrocyte	cluster							672	5	['ADAM28', 'DOCK8', 'AC097518.2', 'STK32A', 'TNC']	['LGR6', 'ADAM28', 'DOCK8', 'AC097518.2', 'STK32A', 'TNC', 'HPSE2', 'SLC6A11', 'AC012405.1', 'LINC00299']	H18.30.001(0.619)| H23.30.001(0.1384)| H20.30.001(0.1027)| H19.30.004(0.0744)| H20.30.002(0.0655)	Balanced	Balanced	853_B07 (0.2574)|858_D03 (0.2173)|994_C03 (0.0595)|1279_B07 (0.0491)|925_F03 (0.0476)|2016_A03 (0.0476)|1075_B04 (0.0461)|853_A07 (0.0461)|1169_A01 (0.0268)|2058_C03 (0.0238)|1279_A07 (0.0223)|960_B03 (0.0179)|988_E05 (0.0179)|2006_B05 (0.0164)|1001_B06 (0.0134)|2012_A05 (0.0104)	0.2574	853_B07 (0.2574)|a total of 2788 cells in this dominant library	GPi(0.3497)| GPeC(0.2574)| STH(0.1607)| SN(0.0729)| GPeR(0.064)| GPe(0.0387)| PuPV(0.0193)| SN-VTA(0.0149)| NAC(0.0149)| PuC(0.006)| CaT(0.0015)| CaB(0.0)| CaH(0.0)| Pu(0.0)| PuR(0.0)	Balanced	0	0.5	0	0	0	0.1471	0.0747	4828.5	13460.5	2.79
